BUILDER_NAME;INPUT_FILE;OUTPUT_FILE;GRID_SIZE;ISO_LEVEL;FIELD_ELEMENTS;NUM_THREADS;ELAPSED_TIME;TOTAL_TRIANGLES;OUTPUT_SIZE
Octree;/home/training/dd-19-32-75/Assignment2/scripts/../data/benchmark/010.pts;;64;0.15;10;4;4;7680;

Octree;/home/training/dd-19-32-75/Assignment2/scripts/../data/benchmark/020.pts;;64;0.15;20;4;7;13016;

Octree;/home/training/dd-19-32-75/Assignment2/scripts/../data/benchmark/040.pts;;64;0.15;40;4;16;27344;

Octree;/home/training/dd-19-32-75/Assignment2/scripts/../data/benchmark/080.pts;;64;0.15;80;4;36;53520;

Octree;/home/training/dd-19-32-75/Assignment2/scripts/../data/benchmark/160.pts;;64;0.15;160;4;67;92648;

Octree;/home/training/dd-19-32-75/Assignment2/scripts/../data/benchmark/320.pts;;64;0.15;320;4;113;67036;

Octree;/home/training/dd-19-32-75/Assignment2/scripts/../data/benchmark/642.pts;;64;0.15;642;4;198;61952;

Octree;/home/training/dd-19-32-75/Assignment2/scripts/../data/benchmark/010.pts;;64;0.15;10;8;3;7680;

Octree;/home/training/dd-19-32-75/Assignment2/scripts/../data/benchmark/020.pts;;64;0.15;20;8;4;13016;

Octree;/home/training/dd-19-32-75/Assignment2/scripts/../data/benchmark/040.pts;;64;0.15;40;8;9;27342;

Octree;/home/training/dd-19-32-75/Assignment2/scripts/../data/benchmark/080.pts;;64;0.15;80;8;21;53519;

Octree;/home/training/dd-19-32-75/Assignment2/scripts/../data/benchmark/160.pts;;64;0.15;160;8;38;92648;

Octree;/home/training/dd-19-32-75/Assignment2/scripts/../data/benchmark/320.pts;;64;0.15;320;8;61;67036;

Octree;/home/training/dd-19-32-75/Assignment2/scripts/../data/benchmark/642.pts;;64;0.15;642;8;105;61952;

Octree;/home/training/dd-19-32-75/Assignment2/scripts/../data/benchmark/010.pts;;64;0.15;10;16;30;7664;

Octree;/home/training/dd-19-32-75/Assignment2/scripts/../data/benchmark/020.pts;;64;0.15;20;16;10;13016;

Octree;/home/training/dd-19-32-75/Assignment2/scripts/../data/benchmark/040.pts;;64;0.15;40;16;44;27344;

Octree;/home/training/dd-19-32-75/Assignment2/scripts/../data/benchmark/080.pts;;64;0.15;80;16;28;53512;

Octree;/home/training/dd-19-32-75/Assignment2/scripts/../data/benchmark/160.pts;;64;0.15;160;16;65;92644;

Octree;/home/training/dd-19-32-75/Assignment2/scripts/../data/benchmark/320.pts;;64;0.15;320;16;64;67035;

Octree;/home/training/dd-19-32-75/Assignment2/scripts/../data/benchmark/642.pts;;64;0.15;642;16;91;61952;
